customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,senior_citizen,Churn
C00001,7,77.2,572.45,Month-to-month,Fiber optic,Yes,Mailed check,1,Yes
C00002,6,100.54,524.19,Two year,Fiber optic,Yes,Credit card,0,No
C00003,56,96.02,6178.08,One year,DSL,Yes,Bank transfer,1,No
C00004,6,35.39,221.95,One year,No,No,Bank transfer,0,Yes
C00005,7,34.92,210.92,Month-to-month,Fiber optic,No,Electronic check,0,Yes
C00006,34,46.82,1886.27,Month-to-month,Fiber optic,No,Electronic check,0,Yes
C00007,14,56.11,791.31,Month-to-month,No,Yes,Bank transfer,1,Yes
C00008,35,60.85,1765.9,Two year,DSL,No,Mailed check,1,No
C00009,1,87.97,92.43,One year,Fiber optic,No,Bank transfer,0,Yes
C00010,16,25.67,370.17,One year,DSL,No,Credit card,0,Yes
C00011,0,23.47,0.0,Month-to-month,No,No,Electronic check,0,Yes
C00012,1,59.19,66.71,Two year,Fiber optic,No,Electronic check,0,Yes
C00013,56,89.72,5986.87,Two year,Fiber optic,No,Bank transfer,0,No
C00014,3,39.34,118.11,Month-to-month,DSL,Yes,Mailed check,0,Yes
C00015,18,84.15,1487.41,Month-to-month,Fiber optic,No,Mailed check,1,No
C00016,12,45.98,607.7,Month-to-month,No,Yes,Credit card,0,No
C00017,10,108.61,926.43,Month-to-month,Fiber optic,Yes,Electronic check,0,Yes
C00018,55,109.57,6139.44,One year,Fiber optic,Yes,Bank transfer,0,No
C00019,0,49.73,0.0,Month-to-month,Fiber optic,Yes,Bank transfer,0,Yes
C00020,26,43.0,934.41,Month-to-month,No,Yes,Electronic check,1,No
C00021,72,61.13,4256.97,One year,Fiber optic,Yes,Bank transfer,0,No
C00022,19,44.05,955.22,Month-to-month,No,Yes,Electronic check,1,No
C00023,66,87.24,6578.11,Month-to-month,No,No,Mailed check,1,Yes
C00024,1,102.61,86.16,Month-to-month,Fiber optic,Yes,Mailed check,0,No
C00025,13,87.31,949.21,One year,DSL,No,Bank transfer,0,Yes
C00026,7,102.44,649.01,One year,Fiber optic,Yes,Mailed check,0,No
C00027,31,59.7,2128.13,Month-to-month,No,No,Mailed check,0,Yes
C00028,72,35.63,2184.56,One year,DSL,No,Credit card,0,No
C00029,7,93.8,714.38,One year,Fiber optic,No,Electronic check,0,Yes
C00030,25,56.05,1177.7,Month-to-month,No,No,Electronic check,0,Yes
C00031,5,87.13,457.11,One year,Fiber optic,Yes,Bank transfer,0,No
C00032,19,47.06,842.66,Month-to-month,Fiber optic,No,Electronic check,0,No
C00033,14,28.12,439.18,Month-to-month,DSL,No,Credit card,0,Yes
C00034,72,119.26,7672.03,Two year,DSL,No,Bank transfer,0,No
C00035,22,35.62,827.27,Two year,No,No,Bank transfer,0,No
C00036,10,118.84,1062.75,Two year,DSL,Yes,Electronic check,0,No
C00037,2,117.73,255.58,Month-to-month,DSL,No,Mailed check,0,Yes
C00038,3,99.38,342.7,Month-to-month,No,Yes,Mailed check,0,Yes
C00039,6,85.94,438.67,One year,DSL,No,Mailed check,0,No
C00040,6,77.78,535.11,Month-to-month,No,Yes,Mailed check,0,Yes
C00041,45,106.61,4977.02,Month-to-month,No,No,Credit card,0,Yes
C00042,19,48.94,791.17,One year,DSL,Yes,Bank transfer,0,Yes
C00043,17,66.77,1102.19,Month-to-month,DSL,Yes,Mailed check,1,Yes
C00044,2,81.94,141.65,Two year,Fiber optic,No,Credit card,0,No
