transaction_id,amount,hour_of_day,merchant_category,distance_from_home_km,chip_used,transaction_count_24h,IsFraud
T000001,47.35,6,Groceries,291.0,Yes,1,No
T000002,427.19,2,Online,347.6,No,3,No
T000003,72.48,9,Electronics,47.6,Yes,3,No
T000004,206.4,10,Travel,413.6,No,2,No
T000005,46.78,14,Electronics,115.4,Yes,3,No
T000006,50.96,21,Gas,635.0,Yes,3,No
T000007,116.18,22,Online,17.3,Yes,0,No
T000008,124.67,20,Travel,219.8,No,1,No
T000009,48.76,22,Online,246.1,Yes,5,No
T000010,5.11,0,Travel,31.8,Yes,2,Yes
T000011,46.2,15,Travel,191.9,No,1,No
T000012,108.35,8,Gas,132.7,Yes,2,No
T000013,55.9,7,Electronics,339.1,Yes,1,No
T000014,86.16,7,Groceries,118.0,Yes,5,No
T000015,71.56,3,Gas,115.4,Yes,3,No
T000016,13.0,22,Gas,172.7,Yes,1,No
T000017,132.0,12,Online,25.5,No,2,No
T000018,30.57,9,Gas,61.3,Yes,0,No
T000019,33.06,4,Online,91.7,No,0,No
T000020,98.59,19,Travel,74.3,Yes,2,No
T000021,26.27,15,Gas,173.5,Yes,3,No
T000022,70.93,9,Online,56.5,No,1,No
T000023,23.2,15,Electronics,8.7,Yes,1,No
T000024,45.26,3,Groceries,115.0,No,2,Yes
T000025,37.58,16,Electronics,420.6,Yes,1,No
T000026,34.4,9,Electronics,265.8,Yes,1,No
T000027,24.13,2,Electronics,229.1,Yes,4,No
T000028,52.19,2,Groceries,334.0,No,2,Yes
T000029,61.64,2,Gas,61.5,Yes,4,No
T000030,137.82,7,Gas,240.0,No,2,No
T000031,30.76,8,Online,206.0,Yes,4,No
T000032,57.55,2,Online,78.3,Yes,3,No
T000033,496.36,9,Electronics,189.8,No,3,No
T000034,80.79,4,Electronics,20.9,Yes,1,No
T000035,88.47,1,Groceries,317.2,Yes,1,No
T000036,84.21,1,Groceries,150.0,Yes,4,Yes
T000037,9.93,10,Travel,237.0,Yes,4,No
T000038,42.78,11,Groceries,68.3,Yes,1,No
T000039,6.43,22,Electronics,136.4,Yes,1,No
T000040,129.19,2,Gas,305.8,Yes,2,Yes
T000041,298.95,1,Electronics,16.4,No,2,Yes
T000042,32.18,3,Electronics,154.2,Yes,3,Yes
T000043,318.45,0,Gas,340.2,No,4,No
T000044,17.79,7,Electronics,149.6,Yes,4,No
T000045,16.58,6,Groceries,104.1,Yes,1,Yes
T000046,94.89,13,Electronics,32.0,Yes,2,No
T000047,24.14,23,Electronics,142.5,Yes,1,No
T000048,33.23,12,Travel,72.3,Yes,2,No
T000049,161.78,19,Gas,83.0,Yes,2,No
T000050,20.6,19,Electronics,177.0,Yes,3,Yes
T000051,41.18,5,Electronics,174.2,Yes,4,No
T000052,48.56,13,Gas,92.4,Yes,3,No
T000053,79.72,15,Electronics,224.0,Yes,2,No
T000054,113.54,21,Electronics,27.6,No,2,No
T000055,49.23,17,Gas,20.2,No,6,Yes
T000056,16.47,1,Online,70.2,No,1,Yes
T000057,149.91,17,Electronics,66.2,No,2,No
T000058,968.12,4,Travel,104.1,Yes,1,No
T000059,124.0,8,Gas,45.8,Yes,4,No
T000060,95.64,21,Groceries,87.7,Yes,0,No
T000061,37.5,2,Gas,131.1,No,3,No
T000062,42.43,6,Gas,161.1,No,1,No
T000063,13.6,16,Groceries,109.8,No,3,No
T000064,101.22,9,Groceries,295.5,No,2,No
T000065,47.67,20,Electronics,188.0,No,0,No
T000066,197.93,5,Gas,63.9,Yes,1,No
T000067,19.36,22,Gas,119.7,No,0,No
T000068,213.65,14,Online,27.8,Yes,2,No
T000069,40.05,21,Travel,157.6,Yes,3,No
T000070,29.63,11,Gas,103.4,Yes,6,Yes
T000071,33.68,10,Electronics,178.3,Yes,2,No
T000072,29.7,8,Gas,40.2,No,1,No
T000073,6.76,8,Electronics,75.1,No,4,No
T000074,103.47,18,Gas,80.4,Yes,2,No
T000075,118.43,8,Online,462.3,Yes,2,No
T000076,196.09,11,Travel,99.3,Yes,2,No
T000077,110.53,1,Groceries,199.1,No,2,Yes
T000078,105.21,4,Online,241.2,No,2,No
T000079,10.19,23,Electronics,18.8,Yes,0,No
T000080,65.57,15,Gas,8.0,Yes,1,No
T000081,17.58,22,Gas,373.1,Yes,2,No
T000082,41.3,12,Groceries,300.1,Yes,3,No
T000083,220.66,8,Groceries,30.5,No,1,Yes
T000084,56.39,0,Electronics,197.9,Yes,3,No
T000085,4.0,19,Online,221.6,Yes,1,No
T000086,20.05,18,Online,249.4,No,4,Yes
T000087,30.95,4,Electronics,150.6,Yes,0,No
T000088,43.57,10,Online,148.3,Yes,1,No
T000089,139.49,0,Groceries,19.4,No,3,Yes
T000090,126.06,16,Gas,17.9,Yes,2,No
T000091,123.0,7,Gas,258.4,Yes,2,No
T000092,68.88,20,Travel,81.4,Yes,0,No
T000093,40.65,8,Online,280.8,Yes,0,No
T000094,38.03,2,Online,239.1,Yes,2,No
T000095,84.11,6,Electronics,317.7,No,2,No
T000096,138.93,4,Travel,2.3,Yes,1,No
T000097,257.92,20,Electronics,332.6,Yes,3,No
T000098,59.96,7,Online,150.8,Yes,4,No
T000099,73.32,1,Online,48.5,Yes,3,Yes
T000100,241.15,8,Electronics,110.5,Yes,3,No
T000101,18.41,23,Electronics,190.1,No,3,No
T000102,124.11,9,Online,22.8,Yes,2,No
T000103,24.83,3,Gas,315.4,Yes,0,No
T000104,268.76,4,Gas,50.5,No,1,No
T000105,222.72,5,Gas,96.0,No,0,No
T000106,282.8,8,Electronics,73.5,No,4,Yes
T000107,255.09,12,Gas,4.1,Yes,2,No
T000108,126.55,23,Online,98.2,Yes,3,No
T000109,19.63,6,Groceries,163.1,Yes,0,No
T000110,89.55,10,Gas,68.6,Yes,2,No
T000111,133.72,17,Online,69.7,No,4,No
T000112,88.0,23,Electronics,190.0,Yes,2,Yes
T000113,48.69,0,Travel,286.6,Yes,1,Yes
T000114,63.87,14,Groceries,4.8,Yes,3,No
T000115,80.45,4,Travel,15.2,No,2,Yes
T000116,19.57,12,Online,471.6,Yes,5,No
T000117,107.68,16,Electronics,73.8,No,3,No
T000118,95.1,13,Online,206.9,Yes,2,No
T000119,47.86,11,Travel,186.1,No,3,No
T000120,106.47,6,Travel,436.1,No,2,No
T000121,174.8,20,Gas,30.8,Yes,1,No
T000122,19.75,16,Groceries,337.2,No,0,Yes
