lead_id,company_size,industry,page_views_30d,demo_attended,email_opens_30d,sales_calls,days_in_pipeline,Converted
L00001,1-10,Manufacturing,10,No,7,4,50,Yes
L00002,51-200,Finance,13,Yes,2,2,6,Yes
L00003,11-50,Healthcare,7,No,4,1,80,No
L00004,51-200,Healthcare,11,No,5,1,54,No
L00005,201-1000,Tech,11,No,3,1,87,No
L00006,11-50,Tech,11,No,3,2,71,Yes
L00007,11-50,Retail,7,No,2,5,29,Yes
L00008,1-10,Retail,17,No,2,2,24,Yes
L00009,1-10,Manufacturing,9,No,3,4,44,No
L00010,11-50,Retail,14,Yes,3,5,43,Yes
L00011,51-200,Manufacturing,12,Yes,2,1,75,Yes
L00012,51-200,Tech,7,Yes,9,2,46,Yes
L00013,11-50,Retail,13,No,6,2,40,No
L00014,1-10,Manufacturing,6,Yes,7,2,48,Yes
L00015,1-10,Healthcare,7,No,5,2,31,No
L00016,201-1000,Tech,5,No,7,2,26,Yes
L00017,1-10,Manufacturing,13,Yes,5,1,4,Yes
L00018,11-50,Healthcare,14,No,5,0,83,No
L00019,201-1000,Finance,8,Yes,6,2,45,Yes
L00020,1-10,Finance,17,No,4,1,15,No
L00021,11-50,Manufacturing,10,No,2,3,28,No
L00022,201-1000,Finance,10,Yes,4,1,57,No
L00023,1-10,Manufacturing,14,No,1,3,46,Yes
L00024,11-50,Finance,21,No,5,3,10,Yes
L00025,201-1000,Retail,10,Yes,7,2,41,Yes
L00026,1-10,Manufacturing,14,No,0,4,26,No
L00027,11-50,Finance,13,Yes,4,2,54,No
L00028,51-200,Retail,15,No,4,1,82,No
L00029,51-200,Tech,14,No,6,1,74,No
L00030,11-50,Retail,16,No,3,2,24,No
L00031,1-10,Retail,13,No,4,1,29,No
L00032,11-50,Finance,9,No,4,1,61,No
L00033,11-50,Finance,12,Yes,9,4,6,Yes
L00034,11-50,Retail,8,No,7,1,25,No
L00035,11-50,Tech,7,Yes,4,4,8,Yes
L00036,51-200,Finance,16,No,3,0,80,No
L00037,51-200,Healthcare,10,No,6,0,46,No
L00038,11-50,Retail,11,No,7,3,19,Yes
L00039,11-50,Finance,21,No,3,5,6,Yes
L00040,1-10,Healthcare,8,No,8,5,33,No
L00041,11-50,Tech,14,Yes,8,0,35,No
L00042,11-50,Finance,10,Yes,5,2,10,Yes
L00043,51-200,Manufacturing,12,Yes,3,0,59,No
L00044,11-50,Manufacturing,15,No,7,0,16,No
L00045,11-50,Retail,9,No,2,1,74,No
L00046,51-200,Manufacturing,17,No,2,0,1,No
L00047,11-50,Healthcare,5,No,6,2,51,Yes
L00048,201-1000,Tech,15,No,6,2,61,No
L00049,1-10,Manufacturing,9,No,2,0,56,No
L00050,51-200,Tech,11,No,4,2,52,Yes
L00051,11-50,Retail,7,Yes,4,0,86,Yes
L00052,11-50,Manufacturing,18,No,7,2,41,Yes
L00053,11-50,Retail,12,No,4,6,27,No
L00054,11-50,Retail,13,No,4,3,52,No
L00055,11-50,Tech,16,No,7,1,24,No
L00056,1-10,Finance,9,No,7,3,12,No
L00057,1-10,Tech,8,Yes,3,0,1,Yes
L00058,51-200,Tech,15,No,6,1,21,No
L00059,11-50,Healthcare,10,No,5,1,29,No
L00060,51-200,Retail,9,No,5,2,50,No
L00061,201-1000,Retail,13,Yes,7,0,15,Yes
L00062,51-200,Tech,10,No,5,1,19,No
L00063,1-10,Healthcare,12,No,4,2,63,Yes
L00064,11-50,Retail,13,No,6,2,80,No
L00065,11-50,Healthcare,7,No,6,1,54,No
L00066,1-10,Finance,18,No,5,3,14,No
L00067,201-1000,Retail,11,No,5,4,39,Yes
L00068,201-1000,Manufacturing,14,No,3,1,80,No
L00069,51-200,Healthcare,13,No,2,2,50,No
L00070,11-50,Retail,9,Yes,3,5,35,Yes
L00071,51-200,Tech,14,No,6,1,67,No
L00072,1-10,Tech,11,No,6,0,74,Yes
L00073,11-50,Manufacturing,9,Yes,7,1,9,Yes
L00074,11-50,Healthcare,17,No,5,4,3,No
L00075,51-200,Healthcare,11,Yes,3,4,62,No
