applicant_id,credit_score,annual_income,loan_amount,employment_years,debt_to_income,loan_purpose,Default
A00001,594,38711.0,15220.0,15,0.556,Auto,Yes
A00002,678,47386.0,24076.0,2,0.553,Education,Yes
A00003,616,60937.0,6302.0,11,0.172,Home improvement,No
A00004,699,59991.0,35239.0,7,0.633,Auto,Yes
A00005,705,31267.0,16274.0,16,0.761,Auto,Yes
A00006,574,39892.0,8536.0,0,0.263,Home improvement,Yes
A00007,506,73098.0,9363.0,11,0.173,Personal,No
A00008,814,34838.0,13211.0,19,0.664,Auto,Yes
A00009,690,34447.0,17388.0,0,0.803,Home improvement,No
A00010,635,18725.0,3136.0,15,0.254,Home improvement,No
A00011,688,63949.0,25058.0,20,0.412,Auto,No
A00012,675,86963.0,48974.0,18,0.809,Auto,No
A00013,698,57296.0,14673.0,7,0.287,Home improvement,Yes
A00014,731,64892.0,22309.0,23,0.614,Auto,No
A00015,694,46717.0,22649.0,13,0.508,Personal,Yes
A00016,602,40927.0,9374.0,10,0.475,Education,Yes
A00017,594,52234.0,20692.0,11,0.532,Education,Yes
A00018,685,25373.0,10857.0,7,0.493,Auto,Yes
A00019,690,42788.0,7279.0,23,0.46,Personal,No
A00020,636,61309.0,11198.0,2,0.262,Personal,No
A00021,729,47900.0,8487.0,23,0.445,Home improvement,No
A00022,490,66549.0,24891.0,4,0.514,Personal,Yes
A00023,784,111637.0,41158.0,8,0.501,Education,No
A00024,699,91377.0,20945.0,11,0.452,Personal,Yes
A00025,661,61291.0,8325.0,11,0.422,Education,No
A00026,690,37667.0,12944.0,0,0.512,Auto,No
A00027,592,65707.0,14648.0,2,0.522,Home improvement,No
A00028,661,21460.0,3860.0,9,0.189,Education,No
A00029,709,88592.0,28082.0,23,0.412,Education,Yes
A00030,652,47695.0,18779.0,3,0.675,Home improvement,Yes
A00031,661,62631.0,15549.0,15,0.361,Auto,No
A00032,671,132587.0,13388.0,5,0.211,Auto,No
A00033,529,81842.0,11983.0,7,0.267,Education,Yes
A00034,646,47212.0,13931.0,22,0.385,Education,No
A00035,532,57973.0,7226.0,18,0.352,Personal,No
A00036,596,39157.0,17962.0,0,0.528,Education,Yes
A00037,715,74263.0,7677.0,3,0.314,Auto,No
A00038,508,68912.0,12948.0,6,0.299,Personal,No
A00039,604,36059.0,15788.0,0,0.586,Auto,Yes
A00040,706,67738.0,12874.0,20,0.233,Auto,No
A00041,623,45164.0,9524.0,17,0.393,Education,No
A00042,717,51346.0,25967.0,3,0.797,Auto,Yes
A00043,619,47318.0,19727.0,9,0.544,Home improvement,Yes
A00044,616,38508.0,14739.0,24,0.612,Auto,No
A00045,720,53211.0,21553.0,18,0.49,Home improvement,No
A00046,604,23200.0,9694.0,23,0.541,Home improvement,No
A00047,691,80769.0,36422.0,21,0.535,Education,No
A00048,622,69578.0,33474.0,23,0.713,Home improvement,No
A00049,712,29637.0,5908.0,2,0.452,Home improvement,Yes
A00050,646,37614.0,7235.0,18,0.369,Auto,No
A00051,663,44277.0,19171.0,9,0.48,Education,No
A00052,727,65290.0,26101.0,7,0.513,Auto,No
A00053,541,75660.0,11042.0,22,0.243,Education,Yes
A00054,636,29081.0,15045.0,19,0.75,Home improvement,Yes
A00055,721,51444.0,21078.0,19,0.469,Education,No
A00056,715,74361.0,24302.0,24,0.61,Home improvement,No
A00057,666,43651.0,21910.0,16,0.656,Personal,Yes
A00058,623,36472.0,19045.0,22,0.763,Auto,Yes
A00059,718,31416.0,8448.0,0,0.437,Home improvement,No
A00060,482,43370.0,21032.0,11,0.606,Home improvement,No
A00061,582,28856.0,6350.0,10,0.319,Home improvement,Yes
A00062,597,48726.0,15193.0,3,0.484,Education,No
A00063,654,81753.0,39502.0,19,0.655,Education,No
A00064,419,49415.0,13281.0,24,0.269,Home improvement,No
A00065,703,62094.0,20507.0,19,0.445,Home improvement,No
A00066,742,41411.0,6575.0,23,0.378,Education,No
A00067,711,69679.0,26371.0,9,0.656,Personal,Yes
A00068,689,99044.0,15612.0,13,0.195,Auto,No
A00069,701,19707.0,3800.0,4,0.361,Home improvement,No
A00070,542,24709.0,11265.0,18,0.589,Home improvement,Yes
A00071,619,36400.0,5508.0,16,0.159,Home improvement,No
A00072,728,50890.0,11946.0,8,0.355,Personal,No
A00073,646,51692.0,28745.0,0,0.692,Home improvement,No
A00074,593,56846.0,27693.0,3,0.67,Personal,Yes
A00075,681,63803.0,34104.0,8,0.612,Education,No
A00076,609,45904.0,24588.0,13,0.549,Home improvement,Yes
